產品代碼,商品賣家,商品價格
AF1,s1,35
AF2,s1,35
AF3,s1,35
AF4,s1,35
AH1,s1,40
AH2,s1,40
AH3,s1,40
AH4,s1,40
As1,s3,411
CB1,s1,550
CB2,s1,550
CG1,s1,399
CG2,s3,445
CG3,s3,445
CK1,s5,143
CK2,s5,143
CK3,s5,143
CK4,s5,143
CP1,s5,42
CP1,s4,58
CP10,s2,25
CP10,s1,30
CP11,s2,25
CP11,s1,30
CP8,s2,25
CP8,s1,30
CP9,s2,25
CP9,s1,30
CS1,s1,89
CS1,s3,82
CS2,s1,89
CS3,s1,89
DCS1,s1,46
DCS10,s5,922
DCS10,s2,880
DCS10,s1,880
DCS10,s4,863
DCS12,s1,480
DCS12,s4,479
DCS12,s6,504
DCS15,s1,650
DCS15,s4,650
DCS15,s3,680
DCS2,s1,46
DCS20,s5,656
DCS20,s2,550
DCS20,s1,650
DCS20,s6,684
DCS23,s5,59
DCS23,s2,48
DCS23,s1,48
DCS23,s6,50
DCS26,s5,59
DCS26,s2,48
DCS26,s1,48
DCS26,s4,48
DCS26,s3,48
DCS3,s1,49
DCS4,s5,178
DCS4,s6,189
DCS6,s1,49
DCS7,s1,49
DD1,s2,49
DD2,s2,49
DRE1,s4,47
DRE2,s4,47
DRE3,s4,47
DRE4,s4,47
F1,s1,890
FM1,s1,1330
FM2,s1,1330
FM2,s3,1260
FM4,s4,1197
FM4,s3,1260
FM6,s1,1330
FM6,s3,1260
FS1,s1,2999
FUS1,s1,730
FUS1,s3,729
FUS2,s1,730
FUS3,s1,730
FUS3,s3,729
FUS4,s1,730
FUS4,s3,729
GO1,s1,1150
GO2,s1,2050
GO3,s1,1850
GO3,s4,1827
GO3,s3,1827
GO4,s1,85
GO5,s1,85
GO6,s2,112
GO6,s1,171
GO6,s4,135
GO6,s3,148
IT1,s5,275
IT1,s2,240
IT1,s1,235
IT1,s3,215
IT1,s6,319
IT2,s5,209
IT2,s2,245
IT2,s1,245
IT2,s3,200
IT2,s6,233
JN1,s1,39
JN2,s1,39
JN3,s1,39
JN4,s1,39
K91,s2,1210
K91,s1,1080
K92,s2,1210
K92,s1,1080
K92,s3,1316
K96,s1,129
K96,s3,140
K98,s1,91
K98,s3,115
LC1,s1,59
LC2,s1,59
LC3,s1,59
LC4,s1,59
LIS1,s1,26
LIS2,s1,26
LIS3,s1,26
LIS4,s1,26
MIX1,s6,36
MIX2,s1,39
MIX2,s6,36
MIX3,s1,39
MIX3,s6,36
MP1,s2,490
MP1,s1,525
MP1,s3,548
MP2,s2,590
MP2,s1,525
MP2,s3,548
MP3,s1,525
MP3,s3,548
MP4,s1,34
MP4,s4,41
MP4,s6,37
NKo1,s2,25
NKo1,s1,28
NKo2,s2,25
NKo2,s1,28
NKo3,s2,25
NKo3,s1,28
NKo4,s2,25
NKo4,s1,28
NOW1,s1,1175
NOW1,s4,1470
NOW1,s3,1470
NOW2,s1,1175
NOW2,s4,1470
QP1,s2,280
QP1,s1,179
QP1,s3,255
SH1,s1,42
SH2,s1,42
SH3,s1,42
SH4,s1,42
SIN1,s1,600
SIN1,s3,449
SIN2,s4,629
SIN2,s3,629
SIN3,s4,399
SIN5,s4,539
SIN6,s5,759
SIN6,s2,799
SIN6,s1,720
SIN6,s4,719
SIN9,s1,1337
SIN9,s4,791
SIN9,s3,791
SRS1,s1,2499
Sup1,s1,39
Sup2,s1,39
Sup3,s1,39
Sup4,s1,39
WJ1,s1,31
WJ2,s1,31
